date,B,Alpha,B.1.177,Omicron,Delta,AY.4.2,Other
05/09/2020,76.01010101,0,23.61111111,null,0,null,0.378787879
12/09/2020,72.93212421,0,26.8205551,null,0,null,0.247320692
19/09/2020,68.79665572,0,31.1137653,null,0,null,0.089578979
26/09/2020,61.41694591,0.047869794,38.46337961,null,0,null,0.071804691
03/10/2020,59.4276436,0.081185305,40.43028212,null,0,null,0.060888979
10/10/2020,49.82811652,0.054278994,50.0271395,null,0,null,0.09046499
17/10/2020,41.67100469,0.078084331,58.12077043,null,0,null,0.130140552
24/10/2020,38.37408837,0.321750322,61.22908623,null,0,null,0.075075075
31/10/2020,35.87822571,0.606493043,63.47960518,null,0,null,0.035676061
07/11/2020,31.41670991,1.650233524,66.86040477,null,0,null,0.07265179
14/11/2020,28.4196263,4.977891884,66.50263871,null,0,null,0.099843104
21/11/2020,26.6004415,7.505518764,65.76789656,null,0,null,0.126143173
28/11/2020,24.07149195,11.38293827,64.418811,null,0,null,0.126758778
05/12/2020,19.90599295,23.92479436,55.98119859,null,0,null,0.188014101
12/12/2020,14.21319797,40.62406689,44.89399821,null,0,null,0.268736936
19/12/2020,9.890927119,54.65212362,35.12642538,null,0,null,0.33052388
26/12/2020,7.033488096,65.05976489,27.44245777,null,0,null,0.464289242
02/01/2021,4.190040069,74.33314253,21.07613051,null,0,null,0.400686892
09/01/2021,2.873422873,80.23606024,16.58119658,null,0,null,0.309320309
16/01/2021,2.485288594,81.97070239,15.16839865,null,0,null,0.375610367
23/01/2021,1.807515459,86.05253422,11.74885048,null,0,null,0.391099836
30/01/2021,1.232730148,90.89640415,7.521979811,null,0,null,0.348885891
06/02/2021,0.994824225,93.29165826,5.38415003,null,0,null,0.32936748
13/02/2021,0.595238095,96.46226415,2.60557053,null,0,null,0.336927224
20/02/2021,0.483416141,97.46877937,1.738955284,null,0,null,0.308849201
27/02/2021,0.302605772,98.38610255,1.126365929,null,0,null,0.18492575
06/03/2021,0.236693222,98.81076088,0.675441635,null,0,null,0.27710426
13/03/2021,0.286259542,99.03519932,0.450593723,null,0,null,0.227947413
20/03/2021,0.221844614,99.29670537,0.226564713,null,0,null,0.254885302
27/03/2021,0.202994164,99.30220756,0.101497082,null,0,null,0.393301193
03/04/2021,0.237253443,99.3254559,0.051172311,null,0.004652028,null,0.381466319
10/04/2021,0.316346881,98.9821883,0.034385531,null,0.12378791,null,0.543291383
17/04/2021,0.313063277,97.73266294,0.04743383,null,0.683047149,null,1.223792809
24/04/2021,0.458476607,95.26935501,0.031259769,null,2.354902574,null,1.886006044
01/05/2021,0.76462766,89.94902482,0.01108156,null,7.347074468,null,1.928191489
08/05/2021,0.851970181,77.89610697,0.035498758,null,19.63081292,null,1.58561117
15/05/2021,1.447764651,60.05327774,0.034746352,null,37.17859625,null,1.28561501
22/05/2021,0.440569929,38.90138733,0.028121485,null,60.10498688,null,0.524934383
29/05/2021,0.276497696,21.90915076,0.013166557,null,77.54443713,null,0.25674786
05/06/2021,0.162805842,11.31733184,0,null,88.38496604,0,0.134896269
12/06/2021,0.053489284,5.851727704,0,null,94.00920016,0,0.085582855
19/06/2021,0.080032013,3.173269308,0,null,96.65466186,0,0.092036815
26/06/2021,0.062089764,1.219620365,0,null,98.67394004,0,0.044349831
03/07/2021,0.02301269,0.716680913,0,null,98.31021106,0.220264317,0.729831021
10/07/2021,0.021462517,0.374061015,0,null,98.78276866,0.426184271,0.395523532
17/07/2021,0.037363623,0.138245404,0,null,98.85293678,0.788372441,0.183081752
24/07/2021,0.040242694,0.034051511,0,null,98.7803368,1.071074789,0.074294205
31/07/2021,0.02111536,0.025807663,0,null,98.63923234,1.266921615,0.046923023
07/08/2021,0.006645696,0.013291392,0,null,98.58003633,1.375659032,0.024367551
14/08/2021,0.006948466,0.006948466,0,null,98.21424435,1.755645628,0.016213086
21/08/2021,0.004409949,0,0,null,97.61642265,2.36814253,0.011024872
28/08/2021,0.001994376,0,0,null,97.08222812,2.911788756,0.003988752
04/09/2021,0.003996643,0,0,null,96.49494425,3.495064146,0.005994964
11/09/2021,0.002113584,0,0,null,96.0095534,3.984105848,0.004227168
18/09/2021,0,0,0,null,94.99989451,5.000105487,0
25/09/2021,0,0,0,null,93.7965361,6.203463904,0
02/10/2021,0,0,0,null,92.31652269,7.683477313,0
09/10/2021,0,0,0,null,91.14730618,8.852693819,0
16/10/2021,0,0,0,null,90.36987872,9.630121282,0
23/10/2021,0,0,0,null,88.90590677,11.09409323,0
30/10/2021,0,0,0,null,87.44261561,12.55738439,0
06/11/2021,0,0,0,null,85.74232341,14.25767659,0
13/11/2021,0,0,0,null,83.57276514,16.42572584,0.001509024
20/11/2021,0.001331806,0,0,null,81.16826039,18.8304078,0
27/11/2021,0.001254768,0,0,0.030114435,78.9713411,20.9972897,0
04/12/2021,0.00337952,0,0,0.62859074,76.15861214,23.2094176,0
11/12/2021,0.00432788,0,0,11.62252229,64.74941574,23.6237341,0
18/12/2021,0,0,0,56.5,30.7,12.8,0
25/12/2021,0,0,0,80.3,13.2,6.5,0
